관광지 이름,이미지 URL,링크
성산일출봉(UNESCO 세계자연유산),https://api.cdn.visitjeju.net/photomng/thumbnailpath/202409/20/464d6099-295a-4e60-bd93-9e65388f4d0d.png,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1
우도(해양도립공원),https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/21/92bf5bba-77fc-4829-8555-5076b2e7bb52.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500477&menuId=DOM_000001718000000000#p1
사려니숲길,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/16/a1b79a17-078f-4232-be2d-980f5f5e2a6e.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500281&menuId=DOM_000001718000000000#p1
카멜리아힐,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202410/15/5293c237-e9d4-4b12-9a8d-a32724958b9b.jpg,https://visitjeju.net/kr/detail/view?contentsid=CNTS_000000000001195&menuId=DOM_000001718000000000#p1
협재해수욕장,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/27/6b6dc9c4-5466-493e-98e5-580dbf18eefc.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500697&menuId=DOM_000001718000000000#p1
월정리해수욕장,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202407/10/6136a994-a08d-495a-a912-0a1e7b1171e8.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500496&menuId=DOM_000001718000000000#p1
함덕해수욕장,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/20/df7e7656-d60b-4748-8793-4996c50aeff6.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500693&menuId=DOM_000001718000000000#p1
산굼부리,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/a7b4a973-40e9-44e6-87d9-46a4c4f3b367.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500283&menuId=DOM_000001718000000000#p1
새별오름,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202410/21/2a2a3ba3-e7c4-49f5-9409-da274ca547cb.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500309&menuId=DOM_000001718000000000#p1
섭지코지,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/16/f18ca648-b42f-4209-b87a-2410b8da656d.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500343&menuId=DOM_000001718000000000#p1
오설록티뮤지엄,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/21/256f72ce-2f8d-4e8b-a6bb-54d4bb6bd329.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500457&menuId=DOM_000001718000000000#p1
한라산국립공원,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/e9cb50d3-bb50-4f68-b6ae-05887ec8715d.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500685&menuId=DOM_000001718000000000#p1
제주4.3평화공원,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202108/10/4e944e27-520c-42e6-bfa0-005337c08f92.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500535&menuId=DOM_000001718000000000#p2
에코랜드 테마파크,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202110/21/40916b0e-7ce7-4c3f-8ad1-59aeef46d4c6.png,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500438&menuId=DOM_000001718000000000#p2
용눈이오름,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/22/c528da67-1657-46e3-bb82-eaddb02ed706.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500466&menuId=DOM_000001718000000000#p2
비자림,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202410/16/eda139ae-6a88-486f-b2df-f23ecca6326e.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500270&menuId=DOM_000001718000000000#p2
천지연폭포,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/c87fb80d-98e3-4911-ae75-787fee3f0f35.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500618&menuId=DOM_000001718000000000#p2
광치기해변,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/d5b7e9a3-8cfb-41cf-9623-9b15651d4c55.jpg,https://visitjeju.net/kr/detail/view?contentsid=CNTS_000000000018413&menuId=DOM_000001718000000000#p2
김녕해수욕장,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202407/15/fc931694-3362-4945-b566-be8d926476d7.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500083&menuId=DOM_000001718000000000#p2
우도산호해변 홍조단괴 서빈백사,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202110/21/4ad079e6-6bf8-436b-95ef-799ae6f51507.JPG,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500474&menuId=DOM_000001718000000000#p2
세화해변,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202407/24/26a940f4-8517-437c-bef2-88be65dfd157.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500361&menuId=DOM_000001718000000000#p2
아쿠아플라넷 제주,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/21/99c15344-0de8-435b-ae3c-e578926aa8f8.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500565&menuId=DOM_000001718000000000#p2
